"No.","Time","Source","Destination","Protocol","Length","Type","Code","Timestamp from icmp data","Info"
"383","179.455639119","3e:91:d2:d0:13:52","8a:f0:db:ac:b7:4d","ARP","42","","","","Who has 10.0.0.1? Tell 10.0.0.2"
"384","179.455658809","8a:f0:db:ac:b7:4d","3e:91:d2:d0:13:52","ARP","42","","","","10.0.0.1 is at 8a:f0:db:ac:b7:4d"
"385","179.518984817","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:49.000000000 PDT","Echo (ping) request  id=0x0e90, seq=173/44288, ttl=64 (reply in 386)"
"386","179.519032691","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:49.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=173/44288, ttl=64 (request in 385)"
"387","180.543130045","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:50.000000000 PDT","Echo (ping) request  id=0x0e90, seq=174/44544, ttl=64 (reply in 388)"
"388","180.543169090","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:50.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=174/44544, ttl=64 (request in 387)"
"389","181.566997425","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:51.000000000 PDT","Echo (ping) request  id=0x0e90, seq=175/44800, ttl=64 (reply in 390)"
"390","181.567032478","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:51.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=175/44800, ttl=64 (request in 389)"
"391","182.271072270","fe80::649c:b6ff:fe2f:e775","ff02::2","ICMPv6","70","","","","Router Solicitation from 66:9c:b6:2f:e7:75"
"392","182.272110986","fe80::30a9:d8ff:fe7b:1c68","ff02::2","ICMPv6","70","","","","Router Solicitation from 32:a9:d8:7b:1c:68"
"393","182.591179994","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:52.000000000 PDT","Echo (ping) request  id=0x0e90, seq=176/45056, ttl=64 (reply in 394)"
"394","182.591227312","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:52.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=176/45056, ttl=64 (request in 393)"
"395","183.615117970","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:53.000000000 PDT","Echo (ping) request  id=0x0e90, seq=177/45312, ttl=64 (reply in 396)"
"396","183.615159025","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:53.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=177/45312, ttl=64 (request in 395)"
"397","184.639953396","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:54.000000000 PDT","Echo (ping) request  id=0x0e90, seq=178/45568, ttl=64 (reply in 398)"
"398","184.639995431","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:54.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=178/45568, ttl=64 (request in 397)"
"399","185.663405062","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:55.000000000 PDT","Echo (ping) request  id=0x0e90, seq=179/45824, ttl=64 (reply in 400)"
"400","185.663441612","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:55.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=179/45824, ttl=64 (request in 399)"
"401","186.368881888","fe80::d048:5bff:fe57:23cb","ff02::2","ICMPv6","70","","","","Router Solicitation from d2:48:5b:57:23:cb"
"402","186.687038974","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:56.000000000 PDT","Echo (ping) request  id=0x0e90, seq=180/46080, ttl=64 (reply in 403)"
"403","186.687079222","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:56.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=180/46080, ttl=64 (request in 402)"
"404","187.711565162","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:57.000000000 PDT","Echo (ping) request  id=0x0e90, seq=181/46336, ttl=64 (reply in 405)"
"405","187.711606594","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:57.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=181/46336, ttl=64 (request in 404)"
"406","188.735458624","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:58.000000000 PDT","Echo (ping) request  id=0x0e90, seq=182/46592, ttl=64 (reply in 407)"
"407","188.735497809","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:58.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=182/46592, ttl=64 (request in 406)"
"408","189.759303379","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:59.000000000 PDT","Echo (ping) request  id=0x0e90, seq=183/46848, ttl=64 (reply in 409)"
"409","189.759342190","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:59.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=183/46848, ttl=64 (request in 408)"
"410","190.782996564","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:14:00.000000000 PDT","Echo (ping) request  id=0x0e90, seq=184/47104, ttl=64 (reply in 411)"
"411","190.783036344","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:14:00.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=184/47104, ttl=64 (request in 410)"
