,Unnamed: 0,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip,arrival_frequency
313,2030,52.313,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
314,2043,52.262,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
315,2063,52.165,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
316,2082,52.117,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
317,2087,52.092,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
318,2115,51.98,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
319,2122,51.955,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
320,2145,51.903,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
321,2188,51.81,40,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
322,2201,51.778,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
323,2212,51.75,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
324,2216,51.726,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
325,2251,51.603,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
326,2256,51.538,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.109634717
327,2321,51.225,240,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
